id,reaction_id,reaction_name,pathway
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACOAAGPATAI17,anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,Glycerophospholipid metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACOAAGPATI14,isotetradecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,Glycerophospholipid metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACOAAGPATI15,isopentadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,Glycerophospholipid metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACOAAGPATI16,isohexadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,Glycerophospholipid metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACOAAGPATI17,isoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,Glycerophospholipid metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACOATA,Acetyl Coenzyme A Acp Transacylase,Fatty acid oxidation
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACOCT,N-acetylornithine carbamoyltransferase,Arginine and proline metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACODAr,"Acetylornithine deacetylase, reversible",Urea cycle
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACONT,Aconitase,Citric acid cycle
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACONTa,"aconitase (half-reaction A, Citrate hydro-lyase)",Citric acid cycle
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACONTb,"aconitase (half-reaction B, Isocitrate hydro-lyase)",Citric acid cycle
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACOTA,acetylornithine transaminase,Arginine and proline metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACPS1,acyl-carrier protein synthase,CoA synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACS,Acetyl Coenzyme A Synthetase,Glycolysis/gluconeogenesis
